Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
omnivore,natural gas,walk/bicycle,292,rarely,26,2,70,241.6
omnivore,wood,public,145,never,1040,7,84,316.0
vegan,electricity,private,60,never,5624,6,91,403.6
pescatarian,electricity,private,134,rarely,556,7,301,362.6
vegetarian,wood,public,164,rarely,656,2,35,324.0
vegetarian,natural gas,walk/bicycle,214,very frequently,1,7,56,814.2
vegan,wood,private,212,very frequently,4476,2,308,780.2
pescatarian,wood,public,118,never,1073,1,175,197.2
omnivore,natural gas,walk/bicycle,153,very frequently,13,4,266,499.0
omnivore,coal,public,290,very frequently,784,2,70,534.4
vegetarian,electricity,walk/bicycle,249,rarely,17,3,168,254.6
vegetarian,electricity,public,94,rarely,7,4,42,193.8
vegan,natural gas,walk/bicycle,79,never,67,1,126,244.6
vegan,coal,private,137,frequently,4406,5,91,509.4
pescatarian,wood,public,147,never,822,1,238,329.2
omnivore,coal,public,54,never,1332,3,91,148.0
vegetarian,natural gas,public,194,very frequently,1996,2,210,480.8
vegetarian,coal,private,138,very frequently,9883,5,161,1506.2
omnivore,coal,walk/bicycle,234,never,48,6,189,318.2
pescatarian,natural gas,public,64,never,658,4,196,258.8
pescatarian,electricity,public,162,very frequently,360,6,252,743.4
vegetarian,natural gas,private,198,frequently,8422,6,203,727.2
omnivore,electricity,walk/bicycle,289,rarely,44,5,329,435.8
vegetarian,wood,walk/bicycle,226,frequently,47,6,63,395.8
pescatarian,wood,private,210,never,9939,3,7,709.8
omnivore,coal,private,152,never,8279,4,217,623.4
omnivore,electricity,public,278,rarely,1572,4,273,246.4
vegetarian,electricity,walk/bicycle,192,never,68,5,231,235.6
pescatarian,coal,walk/bicycle,192,never,69,5,147,261.8
vegetarian,wood,private,67,frequently,9868,3,161,1126.8
omnivore,natural gas,walk/bicycle,258,rarely,88,6,147,218.0
omnivore,natural gas,public,89,frequently,1923,3,182,321.6
vegan,natural gas,walk/bicycle,73,rarely,11,2,280,263.8
vegan,electricity,walk/bicycle,79,very frequently,11,3,210,417.4
vegan,wood,walk/bicycle,243,never,88,6,224,196.2
omnivore,coal,private,127,never,8554,3,224,738.8
pescatarian,coal,public,171,rarely,1961,3,210,387.8
pescatarian,electricity,walk/bicycle,274,never,47,5,203,347.0
pescatarian,coal,walk/bicycle,70,very frequently,84,4,98,532.2
pescatarian,natural gas,public,233,frequently,1852,5,161,403.8
omnivore,coal,private,156,frequently,9500,5,238,487.0
vegan,natural gas,private,285,very frequently,3542,6,175,823.4
pescatarian,electricity,walk/bicycle,160,never,16,1,266,181.0
pescatarian,wood,public,220,rarely,804,4,147,324.4
vegetarian,electricity,private,210,very frequently,1883,3,126,617.6
omnivore,coal,walk/bicycle,103,frequently,65,5,147,596.4
pescatarian,wood,public,99,frequently,540,1,35,251.8
vegetarian,electricity,public,215,rarely,851,3,98,241.6
pescatarian,electricity,walk/bicycle,192,frequently,36,2,112,351.2
vegan,natural gas,public,130,never,568,3,168,250.6
vegan,wood,public,173,rarely,792,2,231,358.6
omnivore,wood,private,204,frequently,8119,3,217,914.0
omnivore,electricity,private,200,rarely,6674,2,105,236.0
omnivore,wood,public,63,very frequently,689,6,126,663.6
omnivore,electricity,private,138,frequently,375,5,252,377.0
vegan,electricity,public,50,very frequently,1265,6,168,482.8
omnivore,natural gas,public,114,never,359,7,70,503.8
vegetarian,wood,private,132,rarely,498,2,56,314.0
vegetarian,natural gas,walk/bicycle,189,frequently,8,3,0,369.4
omnivore,coal,walk/bicycle,154,rarely,77,3,56,442.0
vegan,wood,walk/bicycle,217,frequently,10,1,7,418.0
vegan,wood,public,105,never,1868,3,280,200.8
vegetarian,coal,private,91,never,437,6,203,401.0
pescatarian,coal,walk/bicycle,144,very frequently,67,7,196,539.2
pescatarian,electricity,public,237,frequently,1584,7,35,366.8
omnivore,electricity,public,291,very frequently,1423,6,238,560.2
omnivore,wood,walk/bicycle,121,very frequently,17,7,203,569.8
vegetarian,electricity,public,95,never,1947,1,42,215.8
omnivore,wood,public,195,very frequently,193,6,140,671.4
pescatarian,coal,walk/bicycle,216,very frequently,24,1,196,622.2
vegan,electricity,walk/bicycle,161,frequently,76,6,112,180.4
vegetarian,coal,walk/bicycle,299,rarely,39,5,147,258.4
vegetarian,wood,walk/bicycle,62,never,13,7,168,345.8
omnivore,electricity,public,63,frequently,615,5,175,292.2
pescatarian,coal,private,251,never,5189,4,175,465.2
vegetarian,wood,public,285,never,1863,3,7,424.2
vegetarian,coal,private,126,frequently,8536,6,56,807.6
vegan,coal,private,178,rarely,1270,3,175,357.8
pescatarian,coal,public,286,never,1267,4,70,367.2
pescatarian,coal,private,115,rarely,2081,3,105,334.8
pescatarian,coal,walk/bicycle,90,very frequently,94,2,210,443.4
vegetarian,wood,private,174,never,9616,3,140,865.4
pescatarian,wood,walk/bicycle,160,rarely,29,1,42,224.6
pescatarian,electricity,public,264,very frequently,97,4,63,380.0
pescatarian,natural gas,public,286,frequently,1621,1,168,376.2
vegan,coal,private,252,very frequently,2845,4,119,904.4
pescatarian,coal,walk/bicycle,66,frequently,40,4,231,581.8
pescatarian,electricity,walk/bicycle,81,rarely,16,2,175,193.6
vegetarian,natural gas,private,257,very frequently,427,6,196,353.8
omnivore,wood,private,227,rarely,9681,2,119,566.8
omnivore,coal,private,156,never,8152,3,266,737.4
pescatarian,natural gas,public,165,very frequently,604,2,301,710.0
pescatarian,electricity,walk/bicycle,88,rarely,4,6,161,294.6
vegetarian,electricity,private,177,never,933,5,210,452.8
vegan,coal,private,128,very frequently,2593,2,77,667.6
vegan,coal,public,150,rarely,1032,4,112,376.6
pescatarian,electricity,walk/bicycle,232,never,98,6,252,261.6
vegan,wood,walk/bicycle,73,never,53,2,98,123.8
pescatarian,coal,walk/bicycle,299,rarely,70,6,63,507.4
vegan,natural gas,public,145,rarely,705,3,203,308.2
pescatarian,wood,public,68,never,614,5,133,247.4
vegetarian,electricity,public,50,frequently,1530,6,126,388.2
pescatarian,electricity,walk/bicycle,293,never,75,5,112,312.6
vegan,wood,walk/bicycle,211,frequently,14,6,42,561.2
pescatarian,natural gas,walk/bicycle,113,rarely,72,7,273,342.6
omnivore,natural gas,walk/bicycle,215,rarely,4,5,196,431.8
pescatarian,wood,walk/bicycle,209,rarely,88,1,273,270.4
vegetarian,wood,walk/bicycle,157,rarely,63,2,140,246.2
vegan,coal,public,52,very frequently,680,7,35,665.4
omnivore,natural gas,public,118,frequently,1444,1,217,399.6
pescatarian,electricity,public,244,rarely,1787,2,105,196.8
vegetarian,electricity,public,152,rarely,520,2,210,184.2
omnivore,electricity,private,237,frequently,8611,2,70,951.4
pescatarian,coal,private,63,frequently,5207,1,245,503.0
vegan,electricity,private,95,frequently,4080,7,189,434.2
pescatarian,natural gas,private,175,never,9566,2,161,1006.6
vegetarian,natural gas,walk/bicycle,51,very frequently,87,5,245,434.0
vegan,natural gas,private,67,rarely,6729,6,154,593.2
vegan,coal,public,142,very frequently,798,6,168,614.8
vegetarian,coal,public,220,very frequently,1475,2,182,424.2
vegetarian,wood,public,208,frequently,1159,4,35,278.8
pescatarian,coal,public,222,never,1212,6,140,285.0
pescatarian,coal,public,136,frequently,595,7,189,478.2
pescatarian,electricity,private,273,never,4922,2,98,159.6
vegetarian,natural gas,private,239,frequently,3075,6,238,624.4
pescatarian,natural gas,private,154,rarely,6692,5,217,472.2
vegetarian,natural gas,walk/bicycle,232,rarely,80,1,189,167.4
omnivore,coal,public,288,never,400,3,189,285.6
omnivore,coal,private,71,very frequently,1564,5,175,769.4
vegan,natural gas,private,234,frequently,1001,6,175,426.4
vegan,wood,private,212,rarely,6082,1,154,343.2
pescatarian,electricity,public,220,very frequently,259,6,238,513.8
vegetarian,natural gas,walk/bicycle,158,never,81,6,301,236.8
vegan,coal,walk/bicycle,195,frequently,29,1,266,377.6
vegan,coal,public,214,very frequently,1661,5,217,475.8
pescatarian,wood,walk/bicycle,131,rarely,87,7,140,448.0
vegetarian,natural gas,public,192,very frequently,388,7,42,647.2
pescatarian,coal,walk/bicycle,183,rarely,0,4,112,360.2
omnivore,natural gas,public,284,frequently,1432,6,140,563.8
pescatarian,electricity,walk/bicycle,142,frequently,61,5,252,441.2
omnivore,coal,private,146,rarely,7849,4,140,604.4
vegetarian,coal,walk/bicycle,61,never,38,5,168,276.6
vegan,electricity,public,108,frequently,756,6,168,446.2
vegetarian,coal,walk/bicycle,159,rarely,7,3,105,356.6
vegetarian,natural gas,private,208,frequently,2764,7,112,627.8
vegetarian,electricity,private,211,frequently,5737,6,189,355.8
vegan,natural gas,public,148,frequently,1935,4,308,335.6
omnivore,natural gas,private,153,very frequently,3876,5,112,796.8
omnivore,wood,walk/bicycle,79,very frequently,86,3,42,377.2
vegetarian,coal,private,217,very frequently,3307,2,273,808.0
vegan,coal,walk/bicycle,242,never,88,2,266,328.6
omnivore,wood,walk/bicycle,241,very frequently,28,3,252,714.6
pescatarian,electricity,public,69,never,14,6,105,280.2
vegan,coal,public,136,never,121,6,126,335.8
vegetarian,natural gas,public,246,very frequently,159,6,231,825.6
omnivore,wood,public,276,rarely,1826,1,189,248.4
omnivore,natural gas,private,98,rarely,8729,6,49,827.6
omnivore,natural gas,walk/bicycle,221,never,2,4,84,322.6
vegetarian,coal,public,284,very frequently,1309,6,203,708.6
vegetarian,natural gas,private,191,frequently,5204,1,294,423.2
pescatarian,coal,walk/bicycle,232,never,70,7,161,392.8
vegan,natural gas,public,151,very frequently,857,2,133,522.2
vegan,wood,private,72,rarely,8097,7,21,717.2
pescatarian,electricity,private,244,frequently,7185,2,238,648.8
vegan,electricity,public,201,frequently,849,6,196,358.4
vegetarian,coal,private,269,very frequently,7429,4,140,1104.2
omnivore,wood,private,294,rarely,9460,1,140,715.0
vegetarian,electricity,walk/bicycle,60,rarely,68,2,203,193.4
pescatarian,natural gas,walk/bicycle,201,rarely,21,4,63,468.6
vegetarian,coal,public,267,very frequently,1696,6,231,566.0
vegetarian,natural gas,private,115,never,7954,3,98,323.2
vegetarian,wood,walk/bicycle,73,frequently,69,7,133,665.2
vegetarian,coal,walk/bicycle,189,never,43,3,49,348.6
vegetarian,wood,public,232,rarely,866,7,133,300.6
omnivore,wood,private,66,very frequently,5438,6,133,576.2
vegetarian,coal,private,277,very frequently,4915,7,203,920.2
vegetarian,coal,walk/bicycle,72,very frequently,81,3,161,504.4
pescatarian,wood,walk/bicycle,155,never,73,3,175,165.2
vegan,electricity,public,236,very frequently,1412,4,231,568.6
vegetarian,wood,private,193,frequently,2910,5,42,558.4
omnivore,electricity,public,281,rarely,1707,2,154,328.6
omnivore,natural gas,public,55,never,1239,1,112,212.8
vegetarian,electricity,private,73,rarely,5413,1,203,299.0
omnivore,wood,public,208,very frequently,618,5,119,519.4
vegetarian,wood,public,176,never,1190,5,210,294.4
vegan,electricity,private,93,rarely,226,3,140,164.8
omnivore,coal,public,75,very frequently,1399,5,140,726.0
omnivore,wood,public,143,rarely,1747,6,196,449.8
omnivore,wood,public,141,rarely,1252,6,189,410.4
vegan,natural gas,private,218,frequently,1828,2,105,452.8
pescatarian,coal,walk/bicycle,265,very frequently,13,4,315,494.4
omnivore,coal,private,159,frequently,6124,1,175,426.8
vegan,electricity,walk/bicycle,296,very frequently,81,3,161,464.0
vegan,coal,private,78,frequently,2771,5,154,516.2
omnivore,wood,public,55,never,1397,5,168,248.8
pescatarian,wood,walk/bicycle,98,frequently,14,4,168,356.0
vegan,electricity,walk/bicycle,291,rarely,23,5,210,246.0
vegetarian,electricity,walk/bicycle,116,rarely,37,2,35,300.8
pescatarian,coal,public,106,rarely,413,1,273,322.8
vegan,natural gas,private,276,very frequently,3974,3,203,703.2
pescatarian,coal,private,198,never,2767,1,224,490.6
pescatarian,wood,walk/bicycle,65,very frequently,52,5,175,542.8
vegetarian,coal,walk/bicycle,250,rarely,38,6,280,511.8
pescatarian,electricity,walk/bicycle,283,never,32,6,217,428.0
vegetarian,coal,walk/bicycle,94,never,33,3,315,268.8
vegan,natural gas,private,172,frequently,5065,4,238,736.2
vegetarian,wood,walk/bicycle,291,very frequently,75,7,259,528.4
vegetarian,coal,public,199,rarely,1208,1,161,369.4
vegan,coal,public,85,very frequently,1718,2,210,470.6
omnivore,wood,public,243,never,245,1,133,223.0
vegetarian,wood,private,150,very frequently,2476,7,231,548.4
omnivore,electricity,private,255,never,5423,5,154,526.0
vegan,electricity,public,129,very frequently,991,1,119,314.0
vegan,wood,public,202,never,910,5,203,350.2
pescatarian,natural gas,private,53,frequently,1136,7,182,684.2
vegan,coal,private,165,very frequently,2810,5,126,720.2
vegetarian,coal,private,227,rarely,7714,5,147,771.0
vegetarian,coal,walk/bicycle,103,never,88,2,49,174.0
vegetarian,electricity,private,148,very frequently,6847,3,182,704.4
omnivore,wood,public,103,very frequently,1826,1,70,508.2
vegetarian,wood,walk/bicycle,75,frequently,28,1,280,356.2
pescatarian,coal,private,180,never,1830,6,210,530.8
pescatarian,coal,private,118,frequently,6269,5,203,657.6
vegetarian,natural gas,public,248,rarely,576,7,98,466.0
omnivore,coal,walk/bicycle,101,rarely,35,1,21,239.4
pescatarian,electricity,public,261,never,1771,6,189,233.4
omnivore,coal,walk/bicycle,258,rarely,50,3,175,323.4
omnivore,coal,private,229,rarely,5694,5,119,569.0
omnivore,electricity,walk/bicycle,99,never,5,5,168,317.6
vegetarian,coal,private,161,frequently,6474,5,231,411.4
omnivore,wood,public,263,very frequently,923,4,112,557.6
omnivore,wood,public,242,frequently,426,3,112,644.8
omnivore,electricity,public,85,rarely,422,7,49,419.4
omnivore,electricity,public,167,rarely,1285,4,168,273.2
vegetarian,coal,public,268,frequently,1040,4,140,347.4
vegetarian,natural gas,public,186,frequently,918,5,140,603.6
pescatarian,wood,private,234,rarely,9814,2,203,278.6
vegetarian,electricity,private,173,very frequently,4570,1,112,698.0
vegetarian,electricity,public,249,rarely,159,5,84,319.6
omnivore,natural gas,private,73,rarely,7315,2,126,503.6
pescatarian,coal,public,264,frequently,1559,2,175,390.2
vegan,electricity,walk/bicycle,265,very frequently,87,5,189,509.2
pescatarian,electricity,private,59,rarely,1958,3,210,199.6
vegetarian,wood,walk/bicycle,109,never,12,2,91,152.8
pescatarian,coal,public,86,frequently,1791,5,182,453.2
omnivore,wood,walk/bicycle,69,rarely,72,1,119,217.0
pescatarian,wood,walk/bicycle,172,never,49,1,21,118.4
pescatarian,electricity,public,189,frequently,961,5,224,253.4
vegetarian,electricity,public,285,rarely,147,5,105,366.8
vegan,electricity,private,87,never,2626,6,56,279.4
pescatarian,coal,private,283,rarely,1233,6,84,390.0
vegetarian,electricity,private,283,frequently,6597,5,175,433.8
vegetarian,wood,private,76,never,1469,4,161,285.8
vegan,natural gas,walk/bicycle,136,very frequently,50,4,84,465.8
vegan,coal,private,246,never,4179,1,154,489.8
pescatarian,coal,private,271,never,2591,7,161,559.6
vegan,electricity,private,178,rarely,8561,6,84,871.8
pescatarian,electricity,public,260,never,585,5,147,186.2
pescatarian,electricity,walk/bicycle,52,frequently,1,6,224,495.8
pescatarian,wood,walk/bicycle,54,frequently,25,6,49,423.2
omnivore,natural gas,private,295,never,7735,3,84,776.4
omnivore,coal,walk/bicycle,154,frequently,25,1,196,299.0
omnivore,natural gas,public,247,never,1621,1,259,317.0
pescatarian,coal,public,186,very frequently,937,6,203,617.6
vegan,coal,walk/bicycle,136,never,33,6,126,219.0
vegan,wood,private,161,rarely,2885,2,196,498.8
omnivore,electricity,public,262,very frequently,1770,6,217,730.0
vegan,wood,private,181,rarely,5011,1,245,493.2
vegan,natural gas,private,72,rarely,7532,5,35,1010.4
omnivore,wood,public,196,rarely,1533,7,161,454.8
pescatarian,wood,private,270,very frequently,8539,6,231,808.4
vegetarian,coal,public,230,very frequently,1891,6,70,477.0
pescatarian,natural gas,private,78,never,4896,3,133,239.6
vegetarian,electricity,private,223,very frequently,3471,6,168,833.2
vegan,wood,private,162,very frequently,9120,6,49,518.6
vegetarian,wood,private,239,rarely,7649,4,168,482.4
vegan,coal,walk/bicycle,195,rarely,90,1,252,246.8
pescatarian,natural gas,private,181,rarely,8961,6,210,826.0
vegetarian,coal,walk/bicycle,222,rarely,28,3,217,312.8
vegan,coal,public,74,never,1160,6,133,301.4
vegan,natural gas,walk/bicycle,182,never,98,2,70,293.8
pescatarian,coal,walk/bicycle,94,never,12,1,126,167.0
omnivore,coal,private,171,very frequently,8713,6,161,667.2
vegan,natural gas,walk/bicycle,213,rarely,26,6,147,309.4
omnivore,wood,private,101,frequently,1417,5,126,544.8
vegan,coal,walk/bicycle,236,rarely,70,6,126,339.0
pescatarian,coal,walk/bicycle,273,never,86,2,266,387.6
vegan,wood,walk/bicycle,151,never,79,3,224,245.2
vegan,electricity,walk/bicycle,249,frequently,73,6,147,354.2
vegan,coal,public,189,frequently,1508,2,217,419.2
omnivore,coal,walk/bicycle,91,very frequently,42,7,112,592.6
omnivore,electricity,private,192,rarely,7994,5,91,707.6
vegan,electricity,public,205,rarely,1439,2,84,228.8
vegan,electricity,private,277,never,133,7,140,137.8
vegan,electricity,walk/bicycle,239,never,80,1,196,204.2
pescatarian,coal,walk/bicycle,174,very frequently,89,3,84,461.6
vegan,electricity,private,70,very frequently,800,1,161,447.4
omnivore,natural gas,public,294,never,1582,2,126,284.2
omnivore,coal,public,285,frequently,635,6,161,606.2
vegan,natural gas,walk/bicycle,138,rarely,36,4,280,431.6
vegan,coal,private,106,rarely,2225,7,70,507.2
vegan,coal,private,61,never,1642,1,182,358.6
vegan,electricity,private,94,frequently,8345,2,224,700.4
vegetarian,coal,walk/bicycle,224,never,20,7,322,373.6
vegetarian,electricity,public,216,rarely,365,5,252,228.2
vegetarian,electricity,public,70,very frequently,594,3,175,404.8
vegetarian,natural gas,public,222,never,477,6,140,304.0
omnivore,natural gas,private,226,very frequently,2541,3,294,587.6
vegan,electricity,private,209,frequently,7440,5,182,612.0
pescatarian,electricity,public,276,never,1948,5,231,242.0
omnivore,wood,private,264,very frequently,4355,6,238,654.4
vegetarian,coal,public,53,frequently,1586,3,210,549.0
pescatarian,coal,private,235,rarely,6129,6,112,809.2
pescatarian,natural gas,walk/bicycle,245,frequently,19,7,7,534.0
omnivore,natural gas,walk/bicycle,66,rarely,31,5,161,345.0
omnivore,coal,walk/bicycle,276,frequently,84,5,217,509.6
omnivore,natural gas,private,179,never,3569,6,238,423.8
pescatarian,electricity,private,55,never,5356,5,168,388.0
vegan,electricity,public,78,never,155,4,182,254.6
vegan,natural gas,public,59,never,1885,4,161,231.2
pescatarian,wood,walk/bicycle,176,never,20,2,287,346.8
omnivore,electricity,public,252,frequently,957,7,273,542.4
vegetarian,wood,public,284,never,1046,2,105,200.6
omnivore,electricity,private,97,very frequently,5569,6,301,851.0
pescatarian,electricity,private,240,frequently,539,6,210,238.6
pescatarian,natural gas,public,162,very frequently,672,6,126,654.4
pescatarian,coal,walk/bicycle,67,never,84,2,196,267.0
vegetarian,electricity,private,56,very frequently,5738,3,42,632.8
vegetarian,coal,walk/bicycle,151,frequently,5,4,168,424.4
vegan,wood,private,225,never,1019,7,224,421.2
pescatarian,wood,private,52,rarely,9117,7,154,1051.6
pescatarian,wood,walk/bicycle,183,very frequently,98,5,273,452.6
pescatarian,natural gas,private,109,never,5984,5,63,393.0
pescatarian,wood,private,175,rarely,8203,1,77,663.4
vegetarian,coal,walk/bicycle,52,very frequently,43,4,119,474.4
omnivore,wood,private,208,very frequently,1375,3,175,778.4
vegetarian,wood,private,124,never,1632,7,196,251.2
vegetarian,coal,public,192,very frequently,1509,2,182,441.6
vegan,coal,public,221,rarely,1718,5,196,435.2
omnivore,natural gas,walk/bicycle,181,frequently,41,3,196,478.0
vegan,coal,private,140,very frequently,2496,1,133,554.6
omnivore,natural gas,private,299,rarely,846,6,154,438.2
vegan,coal,public,62,frequently,1151,2,84,377.6
vegetarian,electricity,walk/bicycle,122,rarely,31,4,84,467.6
omnivore,coal,private,284,rarely,1765,2,168,537.6
omnivore,wood,public,51,very frequently,911,7,266,809.8
pescatarian,coal,walk/bicycle,259,very frequently,61,5,140,548.4
omnivore,coal,private,65,never,4256,1,189,169.2
omnivore,electricity,private,144,never,1382,3,203,147.0
omnivore,natural gas,public,95,very frequently,1149,2,238,551.2
pescatarian,electricity,public,280,rarely,137,5,280,243.8
pescatarian,natural gas,public,53,frequently,1830,1,189,418.6
pescatarian,wood,private,188,never,2810,6,84,370.0
vegan,electricity,private,240,frequently,5162,1,105,622.0
vegan,electricity,public,283,never,658,1,119,239.4
vegetarian,electricity,public,223,never,1121,2,301,138.2
vegetarian,electricity,walk/bicycle,187,very frequently,74,6,210,461.6
vegetarian,wood,private,255,rarely,1273,2,294,438.2
omnivore,coal,private,139,never,7757,5,154,837.2
omnivore,electricity,private,154,very frequently,9772,2,140,729.8
omnivore,wood,private,237,never,8400,3,140,293.4
vegetarian,coal,public,135,very frequently,652,1,126,474.8
vegan,coal,public,94,rarely,1430,4,182,323.2
vegan,natural gas,private,225,never,5955,1,84,328.8
pescatarian,coal,walk/bicycle,87,rarely,42,7,203,527.2
vegan,wood,public,54,never,1159,1,119,225.4
vegan,electricity,private,216,very frequently,944,3,154,505.0
omnivore,natural gas,private,93,rarely,8932,7,175,888.0
vegan,wood,private,290,rarely,5507,7,49,719.6
vegan,electricity,public,154,rarely,404,6,140,228.2
vegetarian,electricity,public,258,frequently,165,7,210,468.6
vegan,electricity,walk/bicycle,196,frequently,8,2,133,255.8
omnivore,natural gas,walk/bicycle,87,rarely,89,2,70,255.8
pescatarian,coal,public,207,frequently,1891,2,238,581.6
pescatarian,natural gas,public,178,never,1281,7,147,396.2
vegan,coal,walk/bicycle,194,very frequently,29,6,56,448.4
pescatarian,natural gas,public,236,rarely,1190,7,210,486.8
vegetarian,coal,walk/bicycle,269,very frequently,0,6,49,644.0
vegan,natural gas,public,89,never,862,2,182,232.0
vegan,electricity,private,144,never,2898,3,28,486.4
vegetarian,natural gas,public,233,very frequently,7,2,217,586.2
pescatarian,coal,walk/bicycle,208,rarely,34,3,168,317.6
omnivore,electricity,public,90,very frequently,568,4,98,447.2
pescatarian,wood,private,99,never,5480,1,133,246.2
vegetarian,electricity,private,246,very frequently,7408,1,168,382.6
vegan,coal,private,158,rarely,4980,3,35,578.0
omnivore,electricity,public,190,never,1342,3,84,214.2
omnivore,electricity,public,133,never,1133,6,98,285.6
pescatarian,electricity,private,222,rarely,3946,6,294,455.6
vegan,coal,walk/bicycle,176,rarely,24,4,189,522.0
pescatarian,wood,private,82,very frequently,4382,2,224,658.4
vegan,coal,private,295,rarely,6895,1,329,713.2
vegetarian,natural gas,walk/bicycle,101,rarely,42,4,63,266.0
vegetarian,electricity,private,166,very frequently,3711,2,0,566.2
pescatarian,wood,private,193,never,3538,3,49,290.4
omnivore,electricity,walk/bicycle,193,never,58,6,280,368.6
vegetarian,electricity,private,194,rarely,7876,6,70,941.4
pescatarian,electricity,public,253,very frequently,326,5,154,520.8
pescatarian,natural gas,public,128,very frequently,1706,2,217,661.6
pescatarian,wood,public,125,never,241,1,161,220.6
vegan,electricity,walk/bicycle,68,very frequently,94,2,210,487.6
vegetarian,natural gas,private,57,frequently,2380,3,273,393.6
vegetarian,electricity,private,147,very frequently,4095,2,175,699.4
vegan,wood,private,295,very frequently,5981,7,140,905.8
pescatarian,natural gas,private,122,never,2130,3,42,198.6
omnivore,wood,walk/bicycle,251,rarely,92,4,196,381.2
pescatarian,electricity,walk/bicycle,260,rarely,68,4,315,259.0
pescatarian,coal,private,212,never,6042,3,182,520.8
omnivore,coal,private,209,very frequently,3550,5,133,677.8
omnivore,electricity,walk/bicycle,84,rarely,76,3,98,223.2
vegetarian,coal,private,96,rarely,3631,4,175,494.8
vegetarian,natural gas,walk/bicycle,113,rarely,77,4,168,317.2
omnivore,natural gas,public,207,rarely,1064,4,119,390.8
vegetarian,electricity,private,179,rarely,4619,6,84,701.8
omnivore,electricity,private,240,frequently,3228,1,329,468.6
omnivore,wood,public,76,frequently,1424,2,119,477.8
vegetarian,coal,public,268,rarely,630,2,14,302.0
pescatarian,coal,private,144,frequently,6547,4,196,1114.4
pescatarian,coal,private,149,frequently,5334,2,133,425.4
pescatarian,coal,private,85,frequently,6917,7,210,415.4
vegetarian,natural gas,public,280,very frequently,651,1,182,634.0
vegan,electricity,walk/bicycle,147,never,20,4,203,219.2
vegan,coal,public,202,frequently,1393,3,217,330.0
vegetarian,electricity,public,223,very frequently,1062,1,252,426.4
pescatarian,wood,private,70,frequently,8370,5,301,677.6
vegan,wood,private,201,rarely,7898,6,259,565.8
omnivore,wood,public,292,never,1010,3,98,397.8
vegetarian,wood,walk/bicycle,60,frequently,66,3,189,323.4
vegan,wood,walk/bicycle,74,very frequently,65,2,98,494.0
omnivore,natural gas,public,59,frequently,881,6,154,445.0
omnivore,electricity,private,277,very frequently,6135,1,203,1074.0
vegetarian,wood,public,114,frequently,1798,1,259,374.2
pescatarian,electricity,walk/bicycle,185,very frequently,13,6,252,481.0
omnivore,electricity,private,196,very frequently,4296,7,210,813.8
vegan,natural gas,private,207,very frequently,7436,6,210,781.6
pescatarian,coal,private,67,rarely,911,5,56,294.0
vegetarian,electricity,private,288,frequently,4081,6,189,646.2
pescatarian,natural gas,walk/bicycle,110,never,15,1,56,264.6
vegetarian,wood,public,51,rarely,479,4,210,464.2
omnivore,coal,private,73,frequently,8099,5,42,822.4
vegetarian,coal,public,79,never,1791,1,126,211.6
pescatarian,natural gas,public,233,very frequently,1976,2,84,517.0
vegan,wood,walk/bicycle,291,rarely,34,6,161,388.8
pescatarian,wood,private,269,never,7047,5,7,824.4
vegan,coal,public,110,very frequently,1717,6,182,662.8
vegetarian,natural gas,private,255,never,5776,2,273,193.4
pescatarian,natural gas,private,149,very frequently,7294,3,182,632.8
pescatarian,wood,walk/bicycle,293,never,27,6,119,272.2
pescatarian,electricity,walk/bicycle,172,frequently,3,7,217,448.2
pescatarian,natural gas,private,238,frequently,6841,5,182,1074.2
pescatarian,electricity,walk/bicycle,120,very frequently,8,7,77,467.4
pescatarian,wood,private,173,frequently,1033,2,133,454.2
vegetarian,electricity,walk/bicycle,272,rarely,55,6,273,287.2
vegetarian,electricity,walk/bicycle,99,frequently,45,6,238,595.4
pescatarian,electricity,public,259,very frequently,712,6,140,595.4
vegan,coal,private,143,never,6911,6,189,300.4
omnivore,coal,public,277,never,328,3,175,368.6
vegetarian,natural gas,walk/bicycle,214,rarely,43,1,224,222.8
vegetarian,wood,public,233,never,1437,4,266,397.8
vegetarian,coal,walk/bicycle,214,never,36,4,182,328.0
pescatarian,wood,public,119,very frequently,988,1,147,574.8
vegan,electricity,walk/bicycle,128,never,90,3,189,123.0
omnivore,natural gas,private,253,rarely,9421,6,112,298.4
vegetarian,natural gas,public,284,frequently,225,3,168,249.2
vegan,electricity,private,55,frequently,1342,5,147,288.4
vegetarian,coal,public,108,very frequently,1310,4,49,718.0
pescatarian,electricity,public,64,never,1852,5,133,273.8
vegetarian,wood,private,187,frequently,2264,6,189,698.8
omnivore,coal,public,120,never,1616,6,49,406.0
vegan,wood,public,122,frequently,949,1,189,290.4
vegan,natural gas,private,173,rarely,4098,4,154,615.0
vegan,coal,private,93,never,6476,7,182,315.2
vegan,electricity,public,202,frequently,24,7,147,354.8
vegetarian,electricity,walk/bicycle,202,never,26,2,140,97.8
vegan,electricity,private,76,very frequently,6698,3,259,908.6
vegetarian,wood,walk/bicycle,54,frequently,98,5,217,527.2
vegan,coal,walk/bicycle,155,rarely,76,3,28,286.6
vegetarian,natural gas,walk/bicycle,249,rarely,69,1,63,172.8
vegetarian,wood,walk/bicycle,111,never,90,6,14,205.8
